序号,学科门类,项目名称,项目名称分词,项目类别,申请人,学校名称,省份,地区,学校标签
49,马克思主义/思想政治教育,人工智能时代思想道德教育风险及防范治理,人工 智能 时代 思想 道德 教育 风险 防范 治理,青年基金项目,张丽,华东政法大学,上海,东部,普通院校
50,马克思主义/思想政治教育,数字时代大学生精神生活泛娱乐化风险及其价值引导研究,数字 时代 大学生 精神 生活 娱乐化 风险 及其 价值 引导 研究,青年基金项目,谢倩,华南农业大学,广东,东部,双一流
51,马克思主义/思想政治教育,数智时代大学生意义感的生成机制和培育路径研究,数智 时代 大学生 意义感 生成 机制 培育 路径 研究,规划基金项目,郑丽娟,华南农业大学,广东,东部,双一流
52,马克思主义/思想政治教育,马克思主义政治经济学批判视域下的数字资本主义研究,马克思主义 政治 经济学 批判 视域 数字 资本主义 研究,青年基金项目,向东旭,华中师范大学,湖北,中部,双一流
53,马克思主义/思想政治教育,可持续生计视域下新职业青年政治认同的风险画像与提升策略研究,可持续 生计 视域 职业 青年 政治 认同 风险 画像 提升 策略 研究,青年基金项目,张楠楠,华中师范大学,湖北,中部,双一流
54,马克思主义/思想政治教育,湖南红色文化铸牢大学生中华民族共同体意识的理论逻辑与实践路径研究,湖南 红色 文化 铸牢 大学生 中华 民族 共同体 意识 理论 逻辑 实践 路径 研究,规划基金项目,田修胜,怀化学院,湖南,中部,普通院校
55,马克思主义/思想政治教育,当代社会思潮对青年生育价值观的影响机理及应对策略研究,当代 社会 思潮 青年 生育 价值观 影响 机理 应对 策略 研究,青年基金项目,王俊飞,淮南师范学院,安徽,中部,普通院校
56,马克思主义/思想政治教育,思想政治教育学科边界划定原则与实践路径研究,思想 政治 教育 学科 边界 划定 原则 实践 路径 研究,青年基金项目,闫彩虹,淮阴工学院,江苏,东部,普通院校
57,马克思主义/思想政治教育,推动农民精神生活共同富裕的数智化路径研究,推动 农民 精神 生活 共同 富裕 数智化 路径 研究,规划基金项目,汪倩倩,淮阴工学院,江苏,东部,普通院校
58,马克思主义/思想政治教育,习近平总书记关于党的自我革命重要思想对马克思主义批判观的创新研究,习近平 总书记 关于 自我 革命 重要 思想 马克思主义 判观 创新 研究,规划基金项目,刘小华,淮阴师范学院,江苏,东部,普通院校
59,马克思主义/思想政治教育,马克思主义视域下Z世代美好生活需要的生成逻辑与价值引领研究,马克思主义 视域 下Z 世代 美好 生活 需要 生成 逻辑 价值 引领 研究,青年基金项目,许慧,江汉大学,湖北,中部,普通院校
60,马克思主义/思想政治教育,基于大学生理想信念生成机制的教育目标体系化研究,基于 大学生 理想 信念 生成 机制 教育 目标 体系化 研究,青年基金项目,马格,江南大学,江苏,东部,双一流
61,马克思主义/思想政治教育,数智技术赋能高校国防教育创新体系构建与实践研究,数智 技术 赋能 高校 国防 教育 创新 体系 构建 实践 研究,规划基金项目,周春燕,江苏科技大学,江苏,东部,普通院校
62,马克思主义/思想政治教育,钱学森书信中的科学家精神及其思想政治教育价值研究,钱学森 书信 科学家 精神 及其 思想 政治 教育 价值 研究,青年基金项目,吴丹,江西财经大学,江西,中部,普通院校
63,马克思主义/思想政治教育,社交媒体平台算法对青年学生价值观的隐性塑造机制研究,社交 媒体 平台 算法 青年 学生 价值观 隐性 塑造 机制 研究,规划基金项目,贺松兰,江西服装学院,江西,中部,普通院校
64,马克思主义/思想政治教育,中央苏区时期干部教育培训教材收集、整理与研究,中央 苏区 时期 干部 教育 培训 教材 收集 整理 研究,青年基金项目,朱贤凌,江西理工大学,江西,中部,普通院校
65,马克思主义/思想政治教育,习近平关于注重家庭家教家风建设论述的原创性贡献研究,习近 平关于 注重 家庭 家教 家风 建设 论述 原创性 贡献 研究,规划基金项目,锷鹤婧,辽宁工业大学,辽宁,东部,普通院校
66,马克思主义/思想政治教育,数字技术赋能人的现代化的逻辑机理、现实困境与实践路径研究,数字 技术 赋能人 现代化 逻辑 机理 现实 困境 实践 路径 研究,青年基金项目,韩晶晶,辽宁师范大学,辽宁,东部,普通院校
67,马克思主义/思想政治教育,数智时代青年爱国主义教育叙事的内在机理与实践进路研究,数智 时代 青年 爱国主义 教育 叙事 内在 机理 实践 进路 研究,青年基金项目,邢盈盈,临沂大学,山东,东部,普通院校
68,马克思主义/思想政治教育,思想政治教育数字化转型中的信任关系构建研究,思想 政治 教育 数字化 转型 信任 关系 构建 研究,青年基金项目,王丛丛,鲁东大学,山东,东部,普通院校
69,马克思主义/思想政治教育,教育家精神赋能师范生协同育人模式构建的理论内涵与实施策略研究,教育家 精神 师范 生协 同育人 模式 构建 理论 内涵 实施 策略 研究,规划基金项目,谷合强,洛阳师范学院,河南,中部,普通院校
70,马克思主义/思想政治教育,数字帝国主义的本质与霸权逻辑批判研究,数字 帝国主义 本质 霸权 逻辑 批判 研究,规划基金项目,朱晓庆,牡丹江师范学院,黑龙江,中部,普通院校
71,马克思主义/思想政治教育,中华文明同世界其他文明交流互鉴的践行机制研究,中华 文明 世界 其他 文明 交流 互鉴 践行 机制 研究,规划基金项目,刘建光,南昌大学,江西,中部,双一流
72,马克思主义/思想政治教育,马克思劳动伦理视域下“数字劳动”的批判性研究,马克思 劳动 伦理 视域 数字 劳动 批判性 研究,青年基金项目,刘祥苑,南京工业职业技术大学,江苏,东部,普通院校
73,马克思主义/思想政治教育,数智时代中国共产党生态文明话语的微叙事建构研究,数智 时代 中国 共产党 生态 文明 话语 微叙事 建构 研究,青年基金项目,周欢,南京工业职业技术大学,江苏,东部,普通院校
74,马克思主义/思想政治教育,历史主动精神视域下中国共产党人增强忧患意识研究,历史 主动 精神 视域 中国 共产党人 增强 忧患 意识 研究,青年基金项目,高希,南京理工大学,江苏,东部,双一流
75,马克思主义/思想政治教育,标识性概念视域下思政引领力的逻辑结构与系统集成研究,标识性 概念 视域 下思 政引 领力 逻辑 结构 系统 集成 研究,规划基金项目,戚如强,南京师范大学,江苏,东部,双一流
76,马克思主义/思想政治教育,习近平文化思想的科学体系与原创性贡献研究,习近平 文化 思想 科学 体系 原创性 贡献 研究,规划基金项目,洪光东,南京师范大学,江苏,东部,双一流
77,马克思主义/思想政治教育,人口高质量发展视域下基础教育公平动态调配机制研究,人口 质量 发展 视域 基础 教育 公平 动态 调配 机制 研究,规划基金项目,俞小敏,南京晓庄学院,江苏,东部,普通院校
78,马克思主义/思想政治教育,“第二个结合”视域下中华民族共同体话语体系建构研究,第二 结合 视域 中华 民族 共同 体话 体系 建构 研究,青年基金项目,陈正辉,南京医科大学,江苏,东部,双一流
79,马克思主义/思想政治教育,资本逻辑批判视域下数字技术异化问题研究,资本 逻辑 批判 视域 数字 技术 异化 问题 研究,青年基金项目,吴媚霞,南京医科大学,江苏,东部,双一流
80,马克思主义/思想政治教育,Z世代大学生意识形态安全预警机制的社群化路径研究,Z世代 大学生 意识 形态 安全 预警 机制 社群化 路径 研究,规划基金项目,刘康平,南京邮电大学,江苏,东部,双一流
81,马克思主义/思想政治教育,人工智能时代高校网络意识形态风险的生成机理及防范策略研究,人工 智能 时代 高校 网络 意识 形态 风险 生成 机理 防范 策略 研究,青年基金项目,孔晶晶,南通大学,江苏,东部,普通院校
82,马克思主义/思想政治教育,中华民族共同体意识融入高校立德树人全过程机制研究,中华 民族 共同体 意识 融入 高校 立德树人 过程 机制 研究,规划基金项目,朱兴国,南通大学,江苏,东部,普通院校
83,马克思主义/思想政治教育,知识图谱赋能思想政治教育创新机制和路径研究,知识 图谱 赋能 思想 政治 教育 创新 机制 路径 研究,规划基金项目,王志新,宁波工程学院,浙江,东部,普通院校
84,马克思主义/思想政治教育,地方性风险治理视角下高校国家安全教育知识体系建构研究,地方性 风险 治理 视角 高校 国家 安全 教育 知识 体系 建构 研究,青年基金项目,肖立志,宁波工程学院,浙江,东部,普通院校
85,马克思主义/思想政治教育,发展新质生产力背景下新型产业工人的培育机制研究,发展 新质 生产力 背景 新型 产业 工人 培育 机制 研究,规划基金项目,赵欣,齐鲁师范学院,山东,东部,普通院校
86,马克思主义/思想政治教育,东西部协作赋能铸牢中华民族共同体意识的作用机理与实践进路研究,东西部 协作 赋能 铸牢 中华 民族 共同体 意识 作用 机理 实践 进路 研究,青年基金项目,石浩,青海大学,青海,西部,双一流
87,马克思主义/思想政治教育,资本逻辑批判视域下数字劳动控制及应对研究,资本 逻辑 批判 视域 数字 劳动 控制 应对 研究,规划基金项目,郝淑芹,曲阜师范大学,山东,东部,普通院校
88,马克思主义/思想政治教育,青年网络社交圈层化生成机理及价值引导研究,青年 网络 社交圈 层化 生成 机理 价值 引导 研究,规划基金项目,马莲,山东大学,山东,东部,双一流
89,马克思主义/思想政治教育,中华优秀传统文化涵育大学生积极社会心态的内容和实践路径研究,中华 优秀 传统 文化 涵育 大学生 积极 社会 心态 内容 实践 路径 研究,规划基金项目,赵婧婧,山东大学,山东,东部,双一流
90,马克思主义/思想政治教育,智媒体时代大学生网络意见表达行为特征、风险识别与引导机制研究,智媒体 时代 大学生 网络 意见 表达 行为 特征 风险 识别 引导 机制 研究,青年基金项目,申肖肖,山东工商学院,山东,东部,普通院校
91,马克思主义/思想政治教育,数字交往对思想政治教育主体性的消解与重构研究,数字 交往 思想 政治 教育 主体性 消解 重构 研究,规划基金项目,段微晓,山东青年政治学院,山东,东部,普通院校
92,马克思主义/思想政治教育,《资本论》语境下耐心资本的培育机制研究,资本论 语境 耐心 资本 培育 机制 研究,青年基金项目,滕越,山东师范大学,山东,东部,普通院校
93,马克思主义/思想政治教育,新时代网络思想政治教育过程创新研究,新时代 网络 思想 政治 教育 过程 创新 研究,青年基金项目,温树峰,山西财经大学,山西,中部,普通院校
94,马克思主义/思想政治教育,生成式人工智能对主流意识形态话语权的潜在挑战及其应对研究,生成式 人工 智能 主流 意识 形态 话语权 潜在 挑战 及其 应对 研究,青年基金项目,朱晓彤,陕西师范大学,陕西,西部,双一流
95,马克思主义/思想政治教育,唯物史观视域下新质生产力的生态意蕴研究,唯物 史观 视域 新质 生产力 生态 意蕴 研究,青年基金项目,杨永浦,陕西师范大学,陕西,西部,双一流
96,马克思主义/思想政治教育,坚持马克思主义指导地位的制度建设研究,坚持 马克思主义 指导 地位 制度 建设 研究,青年基金项目,吴炜生,汕头大学,广东,东部,普通院校
97,马克思主义/思想政治教育,思政课话语体系与新时代青年话语融合研究,思政 话语 体系 新时代 青年 话语 融合 研究,规划基金项目,张仙智,上海电力大学,上海,东部,普通院校
98,马克思主义/思想政治教育,新国潮品牌对中华文化基因的转译创新机制和双向赋能策略研究,国潮 品牌 中华 文化 基因 转译 创新 机制 双向 赋能 策略 研究,规划基金项目,刘锐,上海交通大学,上海,东部,双一流
99,马克思主义/思想政治教育,生成式人工智能赋能思想政治教育话语创新研究,生成式 人工 智能 赋能 思想 政治 教育 话语 创新 研究,规划基金项目,范迎春,上海政法学院,上海,东部,普通院校
100,马克思主义/思想政治教育,延安时期陕甘宁边区反巫神运动的社会动员机制及当代启示研究,延安 时期 陕甘宁 边区 反巫神 运动 社会 动员 机制 当代 启示 研究,青年基金项目,张金福,上海中医药大学,上海,东部,双一流
101,马克思主义/思想政治教育,数智时代大学生网络亚文化群体精准思政研究,数智 时代 大学生 网络 亚文化 群体 精准 思政 研究,规划基金项目,段洪涛,上海中医药大学,上海,东部,双一流
102,马克思主义/思想政治教育,中国式现代化的社会公平正义价值意涵研究,中国式 现代化 社会 公平 正义 价值 意涵 研究,规划基金项目,姜丽,上饶师范学院,江西,中部,普通院校
103,马克思主义/思想政治教育,香港特区青年政治认同提升的理论建构与实践创新研究,香港 特区 青年 政治 认同 提升 理论 建构 实践 创新 研究,青年基金项目,韩雪娇,深圳北理莫斯科大学,广东,东部,普通院校
104,马克思主义/思想政治教育,数智技术影响青年文化消费的机理及应对策略研究,数智 技术 影响 青年 文化 消费 机理 应对 策略 研究,规划基金项目,李娟,石家庄学院,河北,东部,普通院校
105,马克思主义/思想政治教育,行业特色高校“专业基因”向思政教育价值转化机制研究,行业 特色 高校 专业 基因 思政 教育 价值 转化 机制 研究,规划基金项目,尚爻,首都医科大学,北京,东部,普通院校
106,马克思主义/思想政治教育,大学生网络社交迁移行为画像下思政教育的介入路径研究,大学生 网络 社交 迁移 行为 画像 思政 教育 介入 路径 研究,青年基金项目,李忆雯,四川大学,四川,西部,双一流
107,马克思主义/思想政治教育,西方数字乌托邦的意识形态批判及其当代意义研究,西方 数字 乌托邦 意识 形态 批判 及其 当代 意义 研究,青年基金项目,夏鑫雨,四川大学,四川,西部,双一流
108,马克思主义/思想政治教育,新质生产力赋能农业高质量发展的实现路径研究,新质 生产力 赋能 农业 质量 发展 实现 路径 研究,青年基金项目,孙惠娜,四川师范大学,四川,西部,普通院校
109,马克思主义/思想政治教育,数智时代文化虚无主义对大学生意识形态安全的影响及智能治理研究,数智 时代 文化 虚无主义 大学生 意识 形态 安全 影响 智能 治理 研究,青年基金项目,江亲祥,四川外国语大学,重庆,西部,普通院校
110,马克思主义/思想政治教育,新时代中国对外话语体系建构研究,新时代 中国 对外 话语 体系 建构 研究,规划基金项目,张北坪,四川外国语大学,重庆,西部,普通院校
111,马克思主义/思想政治教育,智能技术赋能新时代思想政治教育创新路径研究,智能 技术 赋能 新时代 思想 政治 教育 创新 路径 研究,规划基金项目,王婷,四川外国语大学,重庆,西部,普通院校
112,马克思主义/思想政治教育,大学生网络道德失范行为的协同治理研究——基于数字时代高校思政教育的创新实践,大学生 网络 道德 失范 行为 协同 治理 研究 —— 基于 数字 时代 高校 思政 教育 创新 实践,规划基金项目,高飞,宿迁学院,江苏,东部,普通院校
113,马克思主义/思想政治教育,数智时代历史虚无主义对青年主流意识形态认同的影响及对策研究,数智 时代 历史 虚无主义 青年 主流 意识 形态 认同 影响 对策 研究,青年基金项目,张蕊,太原理工大学,山西,中部,双一流
114,马克思主义/思想政治教育,数智社会中AI伴侣诱发青年意识形态风险的机制及防范研究,数智 社会 AI 伴侣 诱发 青年 意识 形态 风险 机制 防范 研究,青年基金项目,孙文康,太原师范学院,山西,中部,普通院校
115,马克思主义/思想政治教育,数字时代青年群体文化主体性消解风险及建构策略研究,数字 时代 青年 群体 文化 主体性 消解 风险 建构 策略 研究,规划基金项目,李阁,唐山师范学院,河北,东部,普通院校
116,马克思主义/思想政治教育,财经类高校“四链双螺旋”思政课程与课程思政协同育人机制研究,财经类 高校 螺旋 思政 课程 课程 政协 同育人 机制 研究,规划基金项目,王楠,天津财经大学,天津,东部,普通院校
117,马克思主义/思想政治教育,教育强国视域下思政引领力的理论内涵与提升机制研究,教育 强国 视域 下思 政引 领力 理论 内涵 提升 机制 研究,青年基金项目,刘辉,天津大学,天津,东部,双一流
118,马克思主义/思想政治教育,红色文化传承的代际差异及其弥合路径研究,红色 文化 传承 代际 差异 及其 弥合 路径 研究,青年基金项目,梁丹丹,天津工业大学,天津,东部,双一流
119,马克思主义/思想政治教育,习近平文化思想视域下中华传统美德现代转化研究,习近平 文化 思想 视域 中华 传统 美德 现代 转化 研究,规划基金项目,辛晓霞,天津理工大学,天津,东部,普通院校
120,马克思主义/思想政治教育,生成式人工智能赋能高校思政引领力建设的逻辑机理与实践策略研究,生成式 人工 智能 赋能 高校 思政 引领力 建设 逻辑 机理 实践 策略 研究,青年基金项目,张纯刚,天津理工大学,天津,东部,普通院校
121,马克思主义/思想政治教育,数字思政风险的生成机理与防范策略研究,数字 思政 风险 生成 机理 防范 策略 研究,青年基金项目,李娜,天津理工大学,天津,东部,普通院校
122,马克思主义/思想政治教育,新时代中国共产党基层组织组织力提升研究,新时代 中国 共产党 基层 组织 组织力 提升 研究,规划基金项目,王悦,天津仁爱学院,天津,东部,普通院校
123,马克思主义/思想政治教育,中国共产党成立以来英模人物的历史演进规律及培育路径研究,中国 共产党 成立 以来 英模 人物 历史 演进 规律 培育 路径 研究,青年基金项目,沈元军,天津市职业大学,天津,东部,普通院校
124,马克思主义/思想政治教育,智能化网络谣言的意识形态风险及其整体智治研究,智能化 网络 谣言 意识 形态 风险 及其 整体 智治 研究,规划基金项目,赵癸萍,无锡职业技术学院,江苏,东部,普通院校
125,马克思主义/思想政治教育,越南政治革新新进展及其对中越关系的影响研究,越南 政治 革新 进展 及其 关系 影响 研究,青年基金项目,王道征,武汉大学,湖北,中部,双一流
126,马克思主义/思想政治教育,推进大中小学思想政治教育一体化机制建设研究,推进 大中 小学 思想 政治 教育 一体化 机制 建设 研究,规划基金项目,邵献平,武汉东湖学院,湖北,中部,普通院校
127,马克思主义/思想政治教育,生成式AI驱动高校党建精准—场景—智能协同转型研究,生成式 AI 驱动 高校 党建 精准 —场 景— 智能 协同 转型 研究,规划基金项目,商丹,武汉理工大学,湖北,中部,双一流
128,马克思主义/思想政治教育,数智时代下高校思政教育对大学生价值观塑造的创新研究,数智 时代 高校 思政 教育 大学生 价值观 塑造 创新 研究,青年基金项目,王越,武汉轻工大学,湖北,中部,普通院校
129,马克思主义/思想政治教育,《资本论》社会正义思想及其当代价值研究,资本论 社会 正义 思想 及其 当代 价值 研究,规划基金项目,张全胜,西安财经大学,陕西,西部,普通院校
130,马克思主义/思想政治教育,思政引领力的生成机制及提升路径研究,思政 引领力 生成 机制 提升 路径 研究,青年基金项目,李琰,西安电子科技大学,陕西,西部,双一流
131,马克思主义/思想政治教育,法治文化赋能乡风文明建设的理论逻辑与实践路径研究,法治 文化 乡风 文明 建设 理论 逻辑 实践 路径 研究,青年基金项目,冶刚,西安医学院,陕西,西部,普通院校
132,马克思主义/思想政治教育,革命文物赋能新时代高校思想政治教育研究,革命 文物 赋能 新时代 高校 思想 政治 教育 研究,规划基金项目,鲁杰,西北工业大学,陕西,西部,双一流
133,马克思主义/思想政治教育,新时代大学生精神富有评价指标体系构建研究,新时代 大学生 精神 富有 评价 指标 体系 构建 研究,规划基金项目,隋牧蓉,西北农林科技大学,陕西,西部,双一流
